UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
MA04,CS,Chimie pour les matériaux,UV ing.,,C,28 h,TD,28 h,TP,18 h,THE,76 h,,,,,,,Printemps,,,Maîtrise du francçais : *  niveau B2,6 crédits,FRA,"La maîtrise des processus d'élaboration, transformation et dégradation des matériaux polymères nécessite une compréhension des aspects chimiques fondamentaux. Ils permettent de décrire la réactivité des molécules, la structure et les propriétés du matériau.",,,,,,,"établir des liens entre la structure de la molécule (modèles de liaison, effets électroniques), la synthèse du matériau (mécanismes, cinétiques), sa structure macromoléculaire (tacticité...) sa réactivité de surface et ses propriétés thermomécaniques","maîtriser les outils scientifiques et techniques nécessaires à la synthèse et caractérisation des polymères, copolymères et composites photopolymères","maîtriser la synthèse des matériaux micro et méso-poreux, décrire leur structure et comprendre leurs propriétés (adsorption, échange ionique..) ainsi que leurs applications (dépollution de l'eau, catalyse, stockage de l'hydrogène)",acquérir des compétences théoriques et pratiques en cinétique des polymérisations activées thermiquement ou par la lumière ,étudier la réactivité de surface et acquérir des compétences en fonctionnalisation et dégradation des polymères,,,,,,
MA05,CS,Physique de la matière solide,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,MA02,,6 crédits,FRA,La matière condensée permet de mieux comprendre les propriétés physiques des matériaux. Cette UE propose d'approfondir l'usage des lois physiques décrivant les solides.,,,,,,,propriétés physiques de la matière,modèles simples décrivant les solides,conduction électrique et théorie des bandes d'énergie,chaleur phonon et vibration,magnétisme dans la matière,,,,,,
MA11,CS,Matériaux métalliques,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,14 h,THE,80 h,,,,,,,Automne,,,bases de cristallographie requies|Maîtrise du français : *** niveau C2,6 crédits,FRA,"On trouve des matériaux métalliques partout dans nos sociétés industrialisées. Il s'agit ici de donner les principales connaissances sur ces alliages, sur leur comportement mécanique et leurs propriétés, que l'on peut maîtriser de différentes façons.",,,,,,,"connaître la structure cristallographique des métaux, leurs défauts et les bases de la diffusion",savoir interpréter les diagrammes binaires et les transformations isothermes,être capable de prévoir la microstructure d'un alliage donné à partir d'un diagramme d'équilibre ou de diagrammes TTT/TRC lors d'un refroidissement rapide,connaître les traitements thermiques usuels,"connaître les principales propriétés des alliages les plus courants, leur élaboration, leurs applications et leurs normalisations",comprendre le comportement de ces matériaux par la théorie des dislocations,,,,,
MA12,CS,Physique des polymères et composites,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,PRJ,4 h,,,,,Printemps,,,Maîtrise du français :  niveau B2 *,6 crédits,FRA,donner des connaissances de base sur les matériaux polymères et composites,"propiétés physiques et mécaniques, thermodynamique des mélanges, bio-polymères, mise en oeuvre",,,,,Compétences : ,"reconnaitre, choisir et utiliser des matériaux polymères",comprendre la structure interne d'un polymère et les voies de modifications,caractériser les propriétés de ces matériaux,,Contenu du programme :,"polymères: de la molécule au matériau fini. Cohésion, structure moléculaire, thermodynamique des mélanges,  formulation et mise en forme, applications nouvelles","polymères issus du vivant et biomatériaux naturels : formulation, mise en forme et applications","composites: propriétés mécaniques et physiques,énergie de surface, matrice/renfort, procédés de fabrication,High-Tech",,,
MA13,TM,Mécanique des matériaux,UV ing.,,C,28 h,TD,28 h,TP,16 h,THE,78 h,,,,,,,Automne,Printemps,,nécessaire pour suivre MQ05,6 crédits,FRA,Initier les étudiants aux notions de contraintes et de déformations afin de satisfaire les conditions de résistance mécanique.,,,,,"maîtriser les notions fondamentales en mécanique des matériaux : contraintes et déformations, en élasticité et en plasticité","comprendre le dimensionnement des structures sous différents types de sollicitations (Traction, torsion, flexion et composée)",comprendre le dimensionnement des structures à l'aide des critères classiques de limite d'élasticité,comprendre une loi de comportement élastique (loi de Hooke) et plastique,"comprendre les mécanismes élémentaires de déformation en élasticité, en plasticité et en fluage","connaître les notions de ductilité, de fragilité et d'endommagement",,,,,,,
MA14,CS,Semi-conducteurs et matériaux pour les technologies avancées,UV ing. ou UV mast.,,C,30 h,TD,30 h,TP,24 h,THE,60 h,,,,,,,Printemps,,MA02,Maîtrise du français : *  niveau B2|Intervenants supérieur ou égal à * 15 %,6 crédits,FRA,"L'électronique et les technologies avancées utilisent des propriétés originales des semi-conducteurs et de certains matériaux qui permettent des fonctions très sophistiquées, à l'utilisation croissante.",,,,,,,"comprendre et décrire le fonctionnement et les propriétés des semi-conducteurs et des autres matériaux utilisés dans les technologies électroniques et avancées (magnétisme, supraconductivité, photovoltaïsme)",comprendre les phénomènes et les principes de fonctionnement des composants à semi-conducteurs et les,problématiques liées aux matériaux les constituant,"échanger, extraire et traiter des informations techniques relatives à la mise en oeuvre de ces matériaux et des","procédés associés, avec des spécialistes ou à partir de documents techniques",,,,,,
MA20,TM,Analyses et caractérisations microscopiques des matériaux,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,6 h,THE,88 h,,,,,,,Printemps,,,Drapeau anglais,6 crédits,"ANG, FRA","Les récents développements en sciences des matériaux nécessitent une compréhension intime des comportements de la matière aux échelles micronique, submicronique voire nanométrique.",,,,,,,adapter les dispositifs de caractérisation à ces exigences,comprendre les techniques traditionnelles de Microscopies optiques ou électronique à balayage et DRX,comprendre les nouvelles techniques à sondes locales,savoir faire le choix de la technique microscopique ou nanométrique appropriée en fonction du cahier des charges du matériau à analyser,être apte à mettre en ½uvre ou à faire mettre en ½uvre la technique appropriée à l'analyse microscopique ou nanométrique demandée,,,,,,
MA21,TM,Analyses et caractérisations macroscopiques des matériaux,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,,,,,,,Printemps,,,Drapeau français/anglais|Intervenants extérieurs supérieur ou égal à 15%*,6 crédits,"ANG, FRA",La grande diversité des matériaux utilisés aujourd'hui dans l'industrie nécessite une approche exhaustive des techniques de caractérisation et d'analyse. On se limitera ici aux propriétés macroscopiques.,,,,,,,"appréhender et comprendre les techniques de caractérisation macroscopiques les plus utilisées ; spectroscopie optique (réflexion, transmission, IR, Raman, ellipsométrie),techniques de contrôle non-destructif (ressuage,  magnétoscopie, ultrasons), Résonance magnétique nucléaire et chromatographie",savoir choisir la technique en fonction du matériau à analyser et des paramètres physico-chimiques recherchés,"être apte à interpréter et utiliser les résultats de l'analyse dans le but, entre autre, d'orienter le choix d'un matériau en rapport avec un cahier des charges ou une application donnée",,,,,,,,
MC01,CS,Multi-scale characterization,UV mast.,,C,28 h,,,TP,45 h,THE,80 h,,,,,,,Automne,,,,6 crédits,"ANG, FRA","To provide theoretical and practical training in physico-chemical and mechanical characterization techniques, from macroscopic to nanoscopic scale. Students will be asked to synthesize their own sample.",,,,,,,5 themes are addressed in order to acquire experimental skills in the following areas:,"surface analysis and technique (profilometer, atomic force microscope and indentation)",analysis of the crystallinity of materials (X-ray diffraction),optical spectroscopy (Absorption and dynamic scattering of light),"mechanical tests (hardness, tensile and shear strength)",optical and scanning electron microscopy,,,,,
MDPIMIC5,TM,Building Information Modeling (micro-certification),UV ing.,,C,35 h,,,,,THE,35 h,PRJ,35 h,,,,,,,,Maîtrise du français : * niveau B2,6 crédits,FRA,Objectifs de l¿UE (250 caractères max),"Cette micro-certification vous fera découvrir le BIM, pour Building Information Modeling. Le BIM est une approche globale visant à accélérer la collaboration tout au long des phases d'un projet de construction d'une infrastructure (transport, production d'énergie etc.). Sur la base d'exemples réels, vous appréhenderez la notion de continuité numérique d'un projet d'infrastructure et établirez les correspondances et différences notables avec les approches issues du domaine de l'industrie et des services besoin du marché.",,,,,Phase préparatoire :,auto-positionnement,"aborder les fondamentaux du BIM, du vocabulaire aux contraintes métiers",Formation présentielle :,comprendre lhistorique et la maturité du BIM ,saisir les enjeux de la continuité numérique dans un projet d'infrastructure,comprendre les évolutions en cours (norme ISO 19650),illustrer la démarche de continuité numérique à travers des projets de mise en ½uvre,"Phase de consolidation : développer et mettre en ½uvre un service de continuité numérique sur un projet d'infrastructure, compétences développées",,,
ME01,CS,Analyse de cycle de vie et impacts environnementaux,UV mast.,,C,20 h,TD,20 h,,,THE,60 h,,,,,,,Automne,,,,4 crédits,FRA,"maîtriser la mise en oeuvre de l'Analyse de Cycle de Vie : comprendre la méthodologie, les outils et","bases de données, les indicateurs d'impacts",,,,,,introduction à l'ACV,bases de données,méthodes de calcul et indicateurs,"analyse de gravité, sensibilité et d'incertitude dans l'ACV",communication environnementale et ACV,bilan Carbone,"mise en oeuvre sur un projet selon l'ISO14040 et avec un des outils d'ACV proposé (Simapro, Gabi, OpenLCA)",,,,
ME02,CS,Management du développement durable,UV mast.,,C,20 h,TD,20 h,,,THE,60 h,,,,,,,Automne,,,,4 crédits,FRA,"permettre le déploiement, le pilotage et l'effectivité de stratégies de développement durable",,,,,,,intégration systémique des grands enjeux et défis du développement durable,"outils de management environnemental et du développement durable : normes, labels et référentiels","responsabilité sociale de l'entreprise : principes, outils de diagnostic, mise en oeuvre",retours d'expériences de stratégies exemplaires d'entreprises et de territoires intégrant les principes du développement durable dans leur management,management responsable,"nouvelles modalités de gouvernance, enjeux de l'acceptabilité sociale et de la participation du public",,,,,
ME05,CS,"Material, Substance and Waste Flow Analysis",UV mast.,,C,20 h,TD,20 h,,,THE,60 h,,,,,,,Automne,,,,4 crédits,"ANG, FRA",introduction to industrial ecology and system evaluation methods,"material Flow Analysis (MFA) : definition, concept and principles, method and modeling, key trends, policy and tools, case studies","main challenges and strategies for basic human activities¿ related metabolism (feeding, cleaning, transport, communication, etc), theory and its examination in space and time through MFA",MFA software (STAN and UMBERTO),,,The students will be able: ,to explain the role of key substances and materials in today¿s societal metabolism and their potential interactions with the environment,to define material flow analysis (MFA) systems that are adequate to reflect on practical problems and potential solutions,"to point out and reflect on strengths, limitations, and specific areas of application of different MFAs (including other industrial ecology tools that build on them) and to interpret the results in terms of their policy implications (e.g., judge the effectiveness of different interventions)",,,,,,,,
ME09,CS,Préparation à l'essai en environnement et développement durable,UV mast.,,C,3 h,TD,24 h,,,THE,53 h,,,,,,,Automne,,,Maîtrise du français : *** niveau C2,4 crédits,FRA,délivrer une méthodologie permettant à l'étudiant d'atteindre les objectifs de l'essai en environnement et développement durable,,,,,,,"recherche bibliographique, analyse et formulation d'une problématique scientifique pertinente","élaboration du projet scientifique et organisationnel environnant l'essai : choix du type d'essai (avec ou sans stage), identification de la structure d'accueil (si essai avec stage), identification du directeur d'essai","élaboration du plan de travail de l'essai : identification des objectifs généraux et spécifiques, mise en contexte du sujet traité, définition d'une méthodologie et d'un échéancier appropriés, élaboration d'une table des matières anticipée détaillée",,,,,,,,
ME10,TM,Matériaux pour l'énergie,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,FRA,"Etre capable de dimensionner des matériaux pour le stockage, la production et le transport de l'énergie",,,,,,,"énergies renouvelables : photovoltaïque, solaire thermique, éolien","énergie nucléaire : production d'énergie nucléaire classique et future, traitement et stockage des déchets,principes et matériaux mis en jeu","stockage et transport de l'énergie : système traditionnel et moderne pour le stockage de l'énergie, transport optique, transport électrique",,,,,,,,
ME11,TM,Matériaux et transition énergétique,UV ing.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,,,,,,,Printemps,,,Visites en entreprises prévues,6 crédits,FRA,"La transition énergétique passe par la connaissance de nouvelles technologies et de nouveaux composants. Cette UE propose d'avoir un regard scientifique, technique et économique sur ces différents aspects.",,,,,,,enjeux énergétiques et climatiques,règlementation et environnement socio-économique de la transition énergétique,développement de nouveaux matériaux pour :,.le stockage de l'énergie,.le transport,.l'habitat,.l'éclairage,technologies et solutions modernes de production d'énergie,dimensionnement et chiffrage des énergies renouvelables,évolution de la chimie des carburants (passé/avenir),
MF01,HP,Micro-Formation n°1,UV ing. ou UV mast.,,,,,,,,,,,,,,,,Automne,Printemps,,,1 crédits,FRA,,,,,,,,,,,,,,,,,,
MF02,HP,Micro-Formation n°2,UV ing. ou UV mast.,,,,,,,,,,,,,,,,Automne,Printemps,,,1 crédits,FRA,,,,,,,,,,,,,,,,,,
MF03,HP,Micro-Formation n°3,UV ing. ou UV mast.,,,,,,,,,,,,,,,,Automne,Printemps,,,1 crédits,FRA,,,,,,,,,,,,,,,,,,
MF04,HP,Micro-Formation n°4,UV ing. ou UV mast.,,,,,,,,,,,,,,,,Automne,Printemps,,,1 crédits,FRA,,,,,,,,,,,,,,,,,,
MG06,ME,Les brevets au service de l'ingénieur,UV ing.,,C,20 h,TD,28 h,,,THE,72 h,,,,,,,Automne,Printemps,,Picto UE réalisée entièrement en ligne ou dématérialisée,5 crédits,FRA,"Découvrir la protection industrielle et principalement par brevets : les stratégies d'entreprises en matière propriété intellectuelle (brevet, marques, dessins et modèles, droits d'auteurs)",,,,,"connaître le contexte des brevets : définition, justification économique et éléments d'histoire, les grandes tendances en matière de dépôt de brevets, brevet et stratégie de protection de l'innovation","connaître les méthodologies d'analyse de l'information brevet : recherche documentaire, analyse bibliométrique","construire et exploiter une veille technologique et une veille concurrentielle à partir des bases de données brevets : naviguer dans les bases de données brevets, lire un brevet",déposer un brevet d'invention,"exploiter un brevet : création de valeur versus ""patent trolls""",,,,,,,,
MIC01,CS,Introduction à CATIA automation (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Automne,,,Maîtrise français niveau B2 *|Picto UE en ligne|UE en alternance|Possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,"Cette micro-certification vous fera découvrir le processus d'automatisation dans CATIA V5.Vous apprendrez comment créer des scripts d'automatisation, des programmes et des macros dans CATIA V5 à l'aide de Visual Basic.Le modèle de données CATIA V5 et l'aide en ligne spécifique à CATIA Automation seront étudiés afin de vous permettre de réaliser un script complexe, basé sur un cas industriel dans la phase de consolidation de la certification",,,,,,,"Phase préparatoire :présentation de CATIA Automation, premier script, découverte de l'interface,questionnaire d'auto-positionnement","Formation présentielle :concevoir un script d'automatisation, l'idée et sa faisabilité,l'aide en ligne et son utilisation optimale,étude de scripts existants,développement d'un script d'automatisation à partir d'un besoin exprimé",Phase de consolidation :de l'analyse du besoin à la formation des utilisateurs : créer un script d'automatisation,,,,,,,,
MIC02,CS,Product as a service Lifecycle Management (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Automne,,,Maîtrise fiançais niveau B2 *|Picto UE en ligne|UE ouverte à l'alternance avec possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,Cette micro-certification vous fera découvrir la gestion de cycle de vie des produits et infrastructures.,"A partir d'activités vous permettant de comprendre et de partager les concepts, vous serez amené à manipuler le concept de PLM as a service et à mettre en ½uvre un projet portant sur sa définition.",Cette micro-certification vous permettra de comprendre les implications de ce concept dans des domaines industriels variés.,allant de la conception de produits manufacturés au développement et à la réalisation d'infrastructures plus complexes.,,,Phase préparatoire :,auto-positionnement,aborder le PLM par un jeu collaboratif,Formation présentielle :,"comprendre les concepts du PLM, du besoin initial au socle fonctionnel",découvrir des plateformes (Windchill / 3DExperience / autre),comprendre les évolutions des attentes et l'émergence des offres as a service dans un contexte d'Industrie 4.0,"illustrer ces concepts sur des projets de mise en ½uvre industrielle (industrie des produits et services, infrastructures)",Phase de consolidation :,développer et mettre en ½uvre une offre de PaaSLM en lien avec un cas industriel,,
MIC03,TM,Gestion de projet en plateau virtuel,UV ing.,,,,TD,28 h,,,THE,45 h,PRJ,35 h,,,,,Automne,,,Maîtrise français niveau B2 *|Picto UE en ligne|Possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,"Cette micro-certification vous fera découvrir les principes de la gestion de projet dans un contexte de travail collaboratif en plateau projet virtuel. Après un cycle de formation en elearning de 20h, tutoré par des enseignants de l'Utt, vous serez amené à choisir une spécialisation parmi un choix de 15 thèmes et à conduire un projet en groupe d'étudiants.",Cette micro-certification concentre l'acquisition des connaissances minimales pour la compréhension de la démarche de projet et vous permettra d'appréhender les nouvelles compétences requises par le management de projets en plateau projet virtuel.,,,,,Phase préparatoire :séminaire d'ouverture de la micro-certification (présentiel ou webinaire),Formation présentielle :,savoir gérer un projet de A à Z,identifier les différents profils de projet en entreprise,organiser des réunions efficaces,maîtriser le cycle de projet et gérer les risques,définir les lots et les responsabilités,budgéter et piloter le projet,+ choix d'une spécialisation parmi 15 proposées,Phase de consolidation : mise en situation autour d'un projet collaboratif,,
MIC04,TM,Transformation des industries et services par le numérique (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Automne,,,Maîtrise français niveau B2 *|Picto UE en ligne|Possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,"Cette micro-certification a pour objectif de sensibiliser le futur ingénieur à la prise en compte des facteurs organisationnels et humains dans tout projet de transformation numérique. Elle met l'accent également sur les méthodologies à mettre en ½uvre pour permettre le succès de tels projets. Enfin, elle propose une immersion dans le métier de consultant, acteur majeur de cette transformation.",,,,,,"Phase préparatoire :introduction au métier de consultant, les bonnes pratiques pour un projet de transformation réussi,-présentation et mise en place du projet hors encadrement",Formation présentielle :,état des lieux client,méthodologies générales de cadrage,savoir poser un diagnostic,évaluer un plan d'investissement,accompagner le changement,Phase de consolidation :analyse et restitution d'un cas pratique,,,,
MIC05,TM,Building Information Modeling (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Automne,,,Maîtrise français niveau B2 *|Picto UE en ligne|Possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,"Cette micro-certification vous fera découvrir le BIM, pour Building Information Modeling. Le BIM est une approche globale visant à accélérer la collaboration tout au long des phases d'un projet de construction d'une infrastructure (transport, production d'énergie etc.). Sur la base d'exemples réels, vous appréhenderez la notion de continuité numérique d'un projet d'infrastructure et établirez les correspondances et différences notables avec les approches issues du domaine de l'industrie et des services besoin du marché.",,,,,,,"Phase préparatoire :auto-positionnement, aborder les fondamentaux du BIM, du vocabulaire aux contraintes métiers",Formation présentielle :,comprendre lhistorique et la maturité du BIM ,saisir les enjeux de la continuité numérique dans un projet d'infrastructure,comprendre les évolutions en cours (norme ISO 19650),illustrer la démarche de continuité numérique à travers des projets de mise en ½uvre,"Phase de consolidation :développer et mettre en ½uvre un service de continuité numérique sur un projet d'infrastructure,compétences développées",,,,
MIC06,CS,Mise en ½uvre de l'interopérabilité dans le domaine PLM (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Printemps,,,Maîtrise fiançais niveau B2 *|Picto UE en ligne|UE ouverte à l'alternance avec possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,"Cette micro-certification vous fera découvrir les problématiques et les solutions de mise en ½uvre, de l'interopérabilité des systèmes dans le domaine du PLM.",Vous apprendrez à gérer un projet informatique en tenant compte des particularités liées à l'interopérabilité des systèmes.,Vous expérimenterez vos connaissances grâce à un projet complexe d'interopérabilité de systèmes.,,,,Phase préparatoire :,présentation outils de PLM,diagramme de classe UML,présentation du langage java,Formation présentielle :,l'interopérabilité dans le PLM,maîtriser l'interopérabilité,gérer l'interopérabilité dans un projet informatique,Phase de consolidation :,"de l'analyse d'un contexte, à la solution validée : réaliser en équipes le démonstrateur d'une solution d'interopérabilité",,
MIC07,CS,Introduction à la gestion de projet informatique (micro-certification),UV ing.,,C,35 h,,,,,THE,40 h,PRJ,40 h,,,,,Printemps,,,Maîtrise fiançais niveau B2 *|Picto UE en ligne|UE ouverte à l'alternance avec possibilité de la proposer aux étudiants en formation ingénieur|Admission soumise à un test de positionnement,3 crédits,FRA,Cette micro-certification vous fera découvrir la gestion d'un projet informatique.,Vous apprendrez à réaliser chaque phase d'un projet en intégrant les besoins métiers et à articuler ces phases dans une logique de gestion de projet.,"Vous pourrez éprouver ces connaissances en constituant une équipe, qui devra réaliser une application pour répondre à un besoin du marché.",,,,"Phase préparatoire : présentation méthodes de gestion de projet informatique, présentation du langage Java,premier programme et interface de l'environnement de développement intégré",Formation présentielle :,gérer un projet informatique,modéliser les données métiers,concevoir l'architecture d'une solution informatique,réaliser des développements en java,tester la solution,"Phase de consolidation :du besoin client à la solution validée : réaliser en équipe, le démonstrateur d'une application",,,,
MIC08,TM,Architecture des SI pour le BIM,UV ing.,,C,35 h,,,,,THE,40 h,,,,,,,Printemps,,,Maîtrise français niveau B2 *|Picto UE en ligne|Possibilité de la proposer aux étudiants en formation ingénieur|,3 crédits,FRA,"Cette micro-certification vous fera découvrir l'élaboration d'architecture de système d'information dans le secteur de l'AEC (Architecture, Engineering & Construction).",Vous apprendrez à définir une architecture de SI adapté à un besoin et à positionner les concepts de jumeaux numériques et les standards du BIM.,Vous expérimenterez vos connaissances à travers l'instruction d'un dossier d'architecture basé sur des cas d'études industriels.,,,,construire & modéliser l¿architecture des besoins et des exigences d¿une entreprise						,positionner un jumeau numérique dans les usages						,aborder le secteur de la construction d'infrastructures via une logique de cycle de vie						,instruire un dossier d'architecture de système d'information						,positionner les standards du BIM dans une architecture de SI		,,,,,,,
MIC09,TM,Projets agiles et SAFe,UV ing.,,C,35 h,,,,,THE,40 h,,,,,,,Printemps,,,,3 crédits,FRA,Cette micro-certification vous fera découvrir les concepts de management de projets agiles et vous préparera à la certification externe SAFe.,Cette microcertification comprend un séminaire de deux jours visant à vous enseigner les bases des méthodes agiles et à vous préparer à la certification.,,,,,acquérir une vision détaillée du cadre agile à l¿échelle SAFe®						,"appréhender les compétences managériales, la pensée et les principes Lean-Agile						","savoir cartographier, créer et livrer de la valeur au sein d¿un projet complexe						",se sensibiliser aux défis de la transformation agile d'une organisation,,,,,,,,
MM01,TM,Multimédia : du projet à la réalisation,UV ing.,,C,4 h,TD,24 h,TP,24 h,THE,98 h,,,,,,,Automne,Printemps,,Picto pédagogie par projet,6 crédits,FRA,"Créer un site internet demande de maîtriser des aspects à la fois relatifs à l'organisation d'un projet, à la conception graphique, à la navigation interactive en utilisant les standards actuels du monde de l'internet (HTML, CSS, JavaScript).",,,,,,réaliser et conduire un projet multimédia orienté web,savoir planifier et respecter les phases essentielles de la gestion de projet,être capable d'intégrer les contraintes techniques associées à un projet web,connaître les aspects juridiques liés aux sources et à l'activité de publication,,,,,,,,
MP04,CS,Matériaux avancés et procédés d'élaboration,UV mast.,,C,20 h,TD,20 h,,,THE,20 h,PRJ,40 h,,,,,Automne,,,,4 crédits,FRA,"Être capable de maîtriser les propriétés de matériaux avancés, de caractériser et de connaître les principaux procédés d'élaboration et de mise en forme.",,,,,,,"description des matériaux avancés  : nouveaux composites  (fibres naturelles et de synthèse à matrice polymère), mousses métalliques, alliages à mémoire de formes, matériaux intelligents etc.",propriétés et caractérisation physico-chimique des matériaux avancés,principaux procédés d'élaborations et de mise en ½uvre,modélisation  des procédés de mise en forme des nouveaux composites,,,,,,,
MP05,CS,Ingénierie des contraintes résiduelles,UV mast.,,C,20 h,TD,20 h,,,THE,30 h,PRJ,30 h,,,,,Automne,,,Drapeau Français/anglais,4 crédits,"ANG, FRA","Prendre en compte les contraintes résiduelles lors de l'élaboration des matériaux et des structures, connaître les techniques de caractérisation expérimentale associées et comprendre leurs effets sur le comportement en service des composants technologiques.",,,,,,,origines et mécanisme de formation des contraintes résiduelles,effets des contraintes résiduelles sur les matériaux et les structures,techniques de caractérisations expérimentales,"procédés permettant de générer des états de contrainte favorables (grenaillage, SMAT, choc laser...) ",,,,,,,
MP06,CS,Modélisation et optimisation des structures et procédés,UV mast.,,C,20 h,TD,20 h,,,THE,20 h,PRJ,20 h,,,,,Automne,,,Drapeau français/anglais,4 crédits,"ANG, FRA","Proposer une formation théorique et pratique aux techniques de modélisation et de méta-modélisation, de maillage et d'optimisation appliquées aux structures et procédés",,,,,,,"analyser un modèle (domaine d'application, paramètres exogènes et endogènes, notion de méta-modèle)","connaître l'importance du maillage et les techniques de remaillage, du degré d'interpolation et des méthodes d'inversion",connaître les techniques de plan d'expériences numériques,connaître les différentes approches d'optimisation y compris en contexte incertain et choisir une méthode en fonction des applications,"dans le cadre d'un projet, savoir déployer une méthodologie de modélisation et d'optimisation sur un procédé (fabrication additive, procédé de mise en forme, ...)",,,,,,
MQ01,CS,Introduction à la mécanique des matériaux et des structures,UV ing.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,,,,,,,Automne,,,Maîtrise du français : *   niveau B2|Intervenants extérieurs > à 15% *,6 crédits,FRA,"La mécanique des structures concerne l'étude du comportement des corps solides déformables soumis à un chargement. Elle permet d'évaluer la capacité de ce corps à supporter ce chargement. Ce cours introductif se limite au cas des structures en forme de poutre subissant de petites perturbations sous l'effet des charges. A l'issue de ce cours, l'étudiant saura maîtriser les concepts de base de déformations et de contraintes et saura vérifier et/ou dimensionner une structure constituée d'une ou plusieurs poutres.",,,,,,,maitriser la statique des structures et des systèmes,savoir déterminer les contraintes mécaniques maximales et les déplacements induits par les efforts extérieurs appliqués à une structure,savoir identifier et résoudre l'équilibre et les déformées de structures hyperstatiques,savoir dimensionner et/ou vérifier une structure soumise au flambage,savoir s'autoévaluer via les résultats aux QCM de contrôles continus,,,,,,
MQ02,CS,Initiation à la mécanique des milieux continus solides,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,16 h,THE,78 h,,,,,,,Printemps,,,groupe de TD en anglais possible|Drapeau français/anglais,6 crédits,FRA,"Cette UV présente des outils généraux et les principes physiques nécessaires à l'évaluation des contraintes et des déplacements pour les pièces mécaniques à géométrie et sollicitations complexes, dont le matériau a un comportement élastique.",,,,,,savoir calculer les tenseurs des contraintes et des déformations,"savoir mettre en ½uvre un modèle de comportement élastique linéaire, homogène et isotrope","savoir résoudre des problèmes d'élasticité classique en 3D, dans l'hypothèse des petites perturbations",savoir calculer l'énergie de déformation d'un solide,"savoir mettre en ½uvre le principe des travaux virtuels, ainsi que les critères de résistance mécanique",,,,,,,
MQ03,CS,Etudes dynamique et vibratoire de systèmes mécaniques,UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,,,,,,,Automne,,,Drapeau français anglais,6 crédits,"ANG, FRA",Etre capable de prendre en compte les effets dynamiques et vibratoires sur les mouvements et les efforts de systèmes mécaniques.,,,,,,,"savoir réaliser l'étude cinématique, cinétique, équilibrage des systèmes mécaniques","savoir réaliser l'étude dynamique, énergétique et établir les équations de l'équilibre dynamique","savoir modéliser les systèmes discrets avec ou sans amortissement, savoir calculer leur réponse en oscillations libres et forcées",savoir modéliser les systèmes continus en oscillations libres et forcées,"connaître l'analyse des chocs, vibrations aléatoires, étouffeur de vibrations, décomposition modale",savoir mettre en ½uvre des applications sur maquettes réelles et via des simulations numériques     ,,,,,
MQ04,CS,Propriétés des matériaux,UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,,,,,,,Printemps,,,maîtrise du français :  niveau B2 *,6 crédits,FRA,"Connaître les propriétés mécaniques et le comportement vis-à-vis de sollicitations extérieures de différents matériaux (métaux, polymères, composites, céramiques).",,,,,,,maîtriser la microstructure des matériaux par l¿initiation à la cristallographie et aux phénomènes de diffusion à l¿état solide,"connaître les propriétés des matériaux et leurs méthodes de caractérisation sur les comportements de fatigue, rupture, fluage, usure, corrosion et vieillissement",appréhender les méthodes de calculs vis-à-vis de ces différentes propriétés,"savoir mettre en ½uvre quelques techniques expérimentales de caractérisation des propriétés des matériaux, analyser, synthétiser et transmettre les résultats obtenus",,,,,,,
